µPMU location,PSL-Alameda,
µPMU latitude,44.47915,
µPMU longitude,-73.19798,
sample interval (msec),date stamp,time stamp,status,L1-E voltage RMS fundamental magnitude,L1-E voltage fundamental angle,L2-E voltage RMS fundamental magnitude,L2-E voltage fundamental angle,L3-E voltage RMS fundamental magnitude,L3-E voltage fundamental angle,L1 current RMS fundamental magnitude,L1 current fundamental angle,L2 current RMS fundamental magnitude,L2 current fundamental angle,L3 current RMS fundamental magnitude,L3 current fundamental angle,center frequency offset,disciplined vs GPS pps difference,ppl state,pps prd,gps alt,gps hasfix,gps hdop,gps lat,gps lon,gps satellites,gps state,fundamental W total,fundamental VAR total,fundamental VA total,fundamental dPF total,frequency one second L1-E,frequency C37 L1-E,
8.333333,2023/10/5,19:0:0.4083333,34,121.5829,324.058,0.09107715,9.546611,0.06649651,47.17471,0.000117928,56.97542,1.697236E-05,22.0109,1.122685E-10,48.94757,-3,12,1,150000014,124.4,1,0.84,44.47915,-73.19798,10,0,-0.0007282475,-0.01431979,0.01433958,-0.05078583,60.02849,60.02504,
8.333333,2023/10/5,19:0:0.4166667,34,121.5997,324.1648,0.07214454,13.55803,0.06968352,46.8657,0.0001160535,58.16234,1.281684E-05,26.0092,2.781923E-11,78.27425,-3,12,1,150000014,124.4,1,0.84,44.47915,-73.19798,10,0,-0.0009829054,-0.01407793,0.01411299,-0.06964543,60.02847,60.03082,
8.333333,2023/10/5,19:0:0.4250000,34,121.6314,324.2917,0.06747787,16.61245,0.0677406,48.53872,0.0001199091,56.62072,1.402042E-05,30.33699,1.416083E-10,226.6185,-3,12,1,150000014,124.4,1,0.84,44.47915,-73.19798,10,0,-0.0005917779,-0.01457289,0.01458566,-0.04057258,60.02862,60.03787,
8.333333,2023/10/5,19:0:0.4333333,34,121.5321,324.3492,0.08318501,10.67247,0.06590208,50.98094,0.0001171435,56.18209,1.785545E-05,28.12724,1.394222E-10,248.6223,-3,12,1,150000014,124.4,1,0.84,44.47915,-73.19798,10,0,-0.000453936,-0.01422986,0.01423819,-0.03188159,60.02852,60.02775,
8.333333,2023/10/5,19:0:0.4416667,34,121.5806,324.4419,0.08391084,11.23141,0.06461544,45.84536,0.0001180918,58.92952,1.680741E-05,22.43567,4.701867E-10,66.25446,-3,12,1,150000014,124.4,1,0.84,44.47915,-73.19798,10,0,-0.001122011,-0.01431393,0.01435908,-0.07813948,60.02871,60.02852,
8.333333,2023/10/5,19:0:0.4500000,34,121.5117,324.5294,0.07924548,7.093463,0.06888212,43.81786,0.0001163445,54.59642,1.561775E-05,22.05386,6.079575E-10,337.02,-3,12,1,150000014,124.4,1,0.84,44.47915,-73.19798,10,0,-1.534004E-05,-0.01413753,0.01413846,-0.001084987,60.02872,60.02869,
8.333333,2023/10/5,19:0:0.4583333,34,121.4995,324.5413,0.1089449,5.347403,0.066199,50.16843,0.000119266,57.48808,1.702847E-05,22.71434,2.199571E-09,177.5592,-3,12,1,150000014,124.4,1,0.84,44.47915,-73.19798,10,0,-0.0007431665,-0.01447214,0.0144926,-0.05127902,60.02851,60.01422,
8.333333,2023/10/5,19:0:0.4666667,34,121.6131,324.6955,0.07069203,17.86925,0.070964,50.52884,0.0001150201,56.10836,1.312106E-05,25.4578,3.886798E-09,335.7088,-3,12,1,150000014,124.4,1,0.84,44.47915,-73.19798,10,0,-0.0003439856,-0.01398381,0.01398887,-0.02458994,60.02864,60.03493,
8.333333,2023/10/5,19:0:0.4750000,34,121.6441,324.7267,0.06693078,22.0525,0.06525353,45.13487,0.0001216634,57.59671,1.383668E-05,33.65106,6.574516E-09,144.5334,-3,12,1,150000014,124.4,1,0.84,44.47915,-73.19798,10,0,-0.0007401017,-0.01478126,0.01480056,-0.05000497,60.02834,60.02207,
8.333333,2023/10/5,19:0:0.4833333,34,121.6801,324.8492,0.06705241,16.25097,0.07244515,48.10642,0.0001115772,56.08416,1.677423E-05,30.63562,1.534129E-08,6.183749,-3,12,1,150000014,124.4,1,0.84,44.47915,-73.19798,10,0,-0.0002915345,-0.01357385,0.01357785,-0.02147133,60.02842,60.03275,
